country,animal,year,production,pop,meat_per_cap
Philippines,mutton and goat,2019,33.715,107288.15,0.3142471931895554
Singapore,mutton and goat,2019,0.023,5703.569,0.0040325627690311
Thailand,mutton and goat,2019,1.994,65557.054,0.0304162539091521
Viet Nam,mutton and goat,2019,20.993,96483.981,0.2175801597572969
Brunei Darussalam,pig,2019,0.032,459.5,0.0696409140369967
Cambodia,pig,2019,92.96,16078.666,5.781574167906716
Indonesia,pig,2019,236.277,266911.9,0.8852246752580157
Lao PDR,pig,2019,93.109,7123.2,13.071232030548067
Malaysia,pig,2019,222.791,32523.0,6.850259816130124
Myanmar,pig,2019,1092.708,54340.0,20.10872285609128
Philippines,pig,2019,1607.656,107288.15,14.98446939387062
Singapore,pig,2019,22.852,5703.569,4.006614104256475
Thailand,pig,2019,895.38,65557.054,13.658026792967238
Viet Nam,pig,2019,3328.822,96483.981,34.50129198130828
Brunei Darussalam,poultry,2019,24.813,459.5,54.0
Cambodia,poultry,2019,27.895,16078.666,1.73490760987261
Indonesia,poultry,2019,3975.489,266911.9,14.894386499815107
Lao PDR,poultry,2019,38.203,7123.2,5.363179469901168
Malaysia,poultry,2019,1655.293,32523.0,50.89607354795068
Myanmar,poultry,2019,1644.027,54340.0,30.254453441295546
Philippines,poultry,2019,1508.91,107288.15,14.064088158850724
Singapore,poultry,2019,99.772,5703.569,17.492906634424866
Thailand,poultry,2019,1804.397,65557.054,27.52407086505137
Viet Nam,poultry,2019,1144.554,96483.981,11.862632409415198
Brunei Darussalam,beef and buffalo,2018,0.718,442.4,1.6229656419529837
Cambodia,beef and buffalo,2018,66.688,15981.798,4.1727470213301405
Indonesia,beef and buffalo,2018,563.161,264161.7,2.131879829664936
Lao PDR,beef and buffalo,2018,53.371,7012.995,7.610300591972474
Malaysia,beef and buffalo,2018,51.301,32382.2,1.5842345486100389
Myanmar,beef and buffalo,2018,469.88,53863.0,8.72361361231272
Philippines,beef and buffalo,2018,310.72,105755.18,2.9381066724107514
Singapore,beef and buffalo,2018,0.047,5638.676,0.0083352900574532
Thailand,beef and buffalo,2018,151.73,67831.5815983506,2.2368636618033606
Viet Nam,beef and buffalo,2018,426.582,95385.184,4.4722039850549535
Brunei Darussalam,mutton and goat,2018,0.06,442.4,0.1356238698010849
Cambodia,mutton and goat,2018,,15981.798,
Indonesia,mutton and goat,2018,115.533,264161.7,0.4373571187647566
Lao PDR,mutton and goat,2018,1.964,7012.995,0.2800515329042727
Malaysia,mutton and goat,2018,3.154,32382.2,0.0973991884430335
Myanmar,mutton and goat,2018,99.476,53863.0,1.8468336334775264
Philippines,mutton and goat,2018,60.672,105755.18,0.5737023945304617
Singapore,mutton and goat,2018,0.036,5638.676,0.0063844774908152
Thailand,mutton and goat,2018,2.144,67831.5815983506,0.0316076958472708
Viet Nam,mutton and goat,2018,8.992,95385.184,0.0942704057686778
Brunei Darussalam,pig,2018,0.05,442.4,0.1130198915009041
Cambodia,pig,2018,86.48,15981.798,5.411155866192277
Indonesia,pig,2018,327.215,264161.7,1.23869205868981
Lao PDR,pig,2018,70.345,7012.995,10.030664502113575
Malaysia,pig,2018,186.012,32382.2,5.744266912068976
Myanmar,pig,2018,1063.087,53863.0,19.73686946512448
Philippines,pig,2018,1873.063,105755.18,17.711312107832452
Singapore,pig,2018,18.508,5638.676,3.282330816666891
Thailand,pig,2018,999.227,67831.5815983506,14.730999579468705
Viet Nam,pig,2018,3816.414,95385.184,40.01055342095896
Brunei Darussalam,poultry,2018,25.3,442.4,57.18806509945751
Cambodia,poultry,2018,27.286,15981.798,1.7073172868284283
Indonesia,poultry,2018,2588.164,264161.7,9.797650454248288
Lao PDR,poultry,2018,30.838,7012.995,4.397265362373707
Malaysia,poultry,2018,1873.037,32382.2,57.84156110455744
Myanmar,poultry,2018,1896.358,53863.0,35.207062361918204
Philippines,poultry,2018,1379.818,105755.18,13.047285248817127
Singapore,poultry,2018,106.75,5638.676,18.9317492262368
Thailand,poultry,2018,1779.843,67831.5815983506,26.23914934696553
Viet Nam,poultry,2018,947.018,95385.184,9.928355330320482
